sampleID,events / ml this is also per g that was put into the tube wet weight,Timepoint,BactWetWeight,LitterWetWeight,LitterDryWeight,Bacterialdryweight,cellspergdryweight,sampleID2,Location,Treatment,hyphae_cm/gdrylitter
5S01,5.00E+08,2,0.2209,1.2465,0.18,0.031898917,1.57E+10,5S01,Subalpine,Subalpine inoculum 1,504.4402747
5S02,4.09E+08,2,0.2205,1.3589,0.22,0.035697991,1.15E+10,5S02,Subalpine,Subalpine inoculum 2,1121.113305
5S03,4.17E+08,2,0.194,0.2314,0.08,0.067070009,6.22E+09,5S03,Subalpine,Subalpine inoculum 3,NA
5S04,3.93E+08,2,0.209,2.4844,1.1,0.092537434,4.24E+09,5S04,Subalpine,Subalpine inoculum 4,1048.96225
5W01,6.77E+08,2,0.2304,2.3136,0.37,0.036846473,1.84E+10,5W01,Subalpine,Shrubland inoculum 1,NA
5W02,1.21E+09,2,0.2152,1.3577,0.19,0.030115637,4.01E+10,5W02,Subalpine,Shrubland inoculum 2,NA
5W03,3.11E+08,2,0.2078,1.1626,0.18,0.032172716,9.67E+09,5W03,Subalpine,Shrubland inoculum 3,1800.956615
5W04,4.92E+08,2,0.2254,1.0796,0.58,0.121092997,4.06E+09,5W04,Subalpine,Shrubland inoculum 4,616.7828474
1C01,1.05E+08,3,0.118,1.121,1,0.105263158,1.00E+09,NA,NA,NA,NA
1C02,1.26E+08,3,0.123,1.07,0.92,0.105757009,1.19E+09,NA,NA,NA,NA
1C03,2.08E+08,3,0.106,1.091,0.92,0.089385885,2.33E+09,NA,NA,NA,NA
1C04,5.10E+07,3,0.11,1.07,0.93,0.095607477,5.33E+08,NA,NA,NA,NA
1D01,1.17E+08,3,0.102,1.121,0.98,0.089170384,1.31E+09,NA,NA,NA,NA
1D02,2.35E+08,3,0.097,1.154,0.99,0.083214905,2.82E+09,NA,NA,NA,NA
1D03,9.95E+07,3,0.106,1.201,1,0.088259784,1.13E+09,NA,NA,NA,NA
1D04,2.48E+08,3,0.106,1.58,1.37,0.091911392,2.70E+09,NA,NA,NA,NA
1G01,6.63E+07,3,0.104,1.021,0.87,0.088619001,7.48E+08,NA,NA,NA,NA
1G02,2.82E+08,3,0.108,1.086,0.92,0.091491713,3.08E+09,NA,NA,NA,NA
1G03,2.71E+08,3,0.101,1.064,0.89,0.084483083,3.21E+09,NA,NA,NA,NA
1G04,2.52E+08,3,0.109,1.018,0.85,0.091011788,2.77E+09,NA,NA,NA,NA
1L01,1.86E+07,3,0.123,1.049,0.94,0.110219256,1.69E+08,NA,NA,NA,NA
1L02,4.21E+06,3,0.1474,1.0862,0.98,0.1329884,3.17E+07,NA,NA,NA,NA
1L03,5.69E+06,3,0.112,1.021,0.92,0.100920666,5.64E+07,NA,NA,NA,NA
1L04,1.63E+06,3,0.1504,1.013,0.9,0.133622902,1.22E+07,NA,NA,NA,NA
1N01,6.38E+07,3,0.107,1.007,0.86,0.091380338,6.98E+08,NA,NA,NA,NA
1N02,9.43E+06,3,0.119,1.027,0.86,0.099649464,9.46E+07,NA,NA,NA,NA
1N03,2.44E+07,3,0.111,1.045,0.88,0.093473684,2.61E+08,NA,NA,NA,NA
1N04,1.06E+07,3,0.105,1.007,0.86,0.089672294,1.18E+08,NA,NA,NA,NA
1P01,3.19E+08,3,0.106,1.072,0.94,0.092947761,3.43E+09,NA,NA,NA,NA
1P02,2.34E+08,3,0.094,1.057,0.89,0.079148534,2.96E+09,NA,NA,NA,NA
1P03,4.53E+08,3,0.109,1.058,0.88,0.090661626,4.99E+09,NA,NA,NA,NA
1P04,2.83E+08,3,0.107,1.05,0.87,0.088657143,3.19E+09,NA,NA,NA,NA
1S01,4.18E+07,3,0.099,1.076,0.92,0.08464684,4.93E+08,NA,NA,NA,NA
1S02,2.57E+08,3,0.109,1.043,0.89,0.093010547,2.76E+09,NA,NA,NA,NA
1S03,3.25E+08,3,0.1593,0.9907,0.85,0.136676088,2.38E+09,NA,NA,NA,NA
1S04,5.56E+08,3,0.114,1.099,0.94,0.097506824,5.70E+09,NA,NA,NA,NA
1W01,3.32E+08,3,0.098,1.014,0.87,0.08408284,3.95E+09,NA,NA,NA,NA
1W02,1.35E+08,3,0.094,1.053,0.88,0.078556505,1.71E+09,NA,NA,NA,NA
